IPN,Part Number,Description,Value,Symbol,Footprint,Manufacturer,Manufacturer Part Number,Suplier URL,Manufacturer Alternative,MPN Alternative,Manufacturer Alternative 2,MPN Alternative 2,Capacitance,Tolerance,Voltage,Dielectric,ESR,Ripple,Package,Height,Polarized,TempRange,Lifecycle,RoHS,Datasheet,Created By,Created On,Approved By,Approved On,Revision,Comments,Cost_1,Cost_10,Cost_100,Cost_500,Cost_1000,Cost_2500,Cost_5000
IPN_C-????,C0402_12nF_16V_±10%_X7R,CAP CER 0.012UF 16V X7R 0402,12nF 16V (X7R),Capacitors:C,Capacitor_SMD:C_0402_1005Metric,KEMET,C0402C123K4RACTU,https://www.digikey.es/es/products/detail/kemet/C0402C123K4RACTU/1090780,,,,,12nF,±10%,16V,X7R,,,,,,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,,,,,,,,
IPN_C-????,C0603_12nF_50V_±10%_X7R,CAP CER 0.012UF 50V X7R 0603,12nF 50V (X7R),Capacitors:C,Capacitor_SMD:C_0603_1608Metric,KEMET,C0603C123K5RACTU,https://www.digikey.es/es/products/detail/kemet/C0603C123K5RACTU/2199880,,,,,12nF,±10%,50V,X7R,,,,,,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,,,,,,,,
IPN_C-????,C0805_12nF_50V_±10%_X7R,CAP CER 0.012UF 50V X7R 0805,12nF 50V (X7R),Capacitors:C,Capacitor_SMD:C_0805_2012Metric,KEMET,C0805C123K5RACTU,https://www.digikey.es/es/products/detail/kemet/C0805C123K5RACTU/2211870,,,,,12nF,±10%,50V,X7R,,,,,,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,,,,,,,,
IPN_C-????,C0402_15nF_16V_±10%_X7R,CAP CER 0.015UF 16V X7R 0402,15nF 16V (X7R),Capacitors:C,Capacitor_SMD:C_0402_1005Metric,KEMET,C0402C153K4RACTU,https://www.digikey.es/es/products/detail/kemet/C0402C153K4RACTU/1090783,,,,,15nF,±10%,16V,X7R,,,,,,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,,,,,,,,
IPN_C-????,C0603_15nF_50V_±10%_X7R,CAP CER 0.015UF 50V X7R 0603,15nF 50V (X7R),Capacitors:C,Capacitor_SMD:C_0603_1608Metric,KEMET,C0603C153K5RACTU,https://www.digikey.es/es/products/detail/kemet/C0603C153K5RACTU/2199999,,,,,15nF,±10%,50V,X7R,,,,,,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,,,,,,,,
IPN_C-????,C0805_15nF_50V_±10%_X7R,CAP CER 0.015UF 50V X7R 0805,15nF 50V (X7R),Capacitors:C,Capacitor_SMD:C_0805_2012Metric,KEMET,C0805C153K5RACTU,https://www.digikey.es/es/products/detail/kemet/C0805C153K5RACTU/411160,,,,,15nF,±10%,50V,X7R,,,,,,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,,,,,,,,
IPN_C-????,C0805_15nF_50V_±10%_C0G,CAP CER 0805 15NF 50V C0G 10%,15nF 50V (C0G),Capacitors:C,Capacitor_SMD:C_0805_2012Metric,KEMET,C0805C153K5GECTU,https://www.digikey.es/es/products/detail/kemet/C0805C153K5GECTU/8644575,,,,,15nF,±10%,50V,C0G,,,,,,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,,,,,,,,
IPN_C-????,C0402_18nF_16V_±10%_X7R,CAP CER 0.018UF 16V X7R 0402,18nF 16V (X7R),Capacitors:C,Capacitor_SMD:C_0402_1005Metric,KEMET,C0402C183K4RACTU,https://www.digikey.es/es/products/detail/kemet/C0402C183K4RACTU/1090786,,,,,18nF,±10%,16V,X7R,,,,,,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,,,,,,,,
IPN_C-????,C0603_18nF_50V_±10%_X7R,CAP CER 0.018UF 50V X7R 0603,18nF 50V (X7R),Capacitors:C,Capacitor_SMD:C_0603_1608Metric,KEMET,C0603C183K5RACTU,https://www.digikey.es/es/products/detail/kemet/C0603C183K5RACTU/2200120,,,,,18nF,±10%,50V,X7R,,,,,,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,,,,,,,,
IPN_C-????,C0805_18nF_50V_±10%_X7R,CAP CER 0.018UF 50V X7R 0805,18nF 50V (X7R),Capacitors:C,Capacitor_SMD:C_0805_2012Metric,KEMET,C0805C183K5RACTU,https://www.digikey.es/es/products/detail/kemet/C0805C183K5RACTU/411161,,,,,18nF,±10%,50V,X7R,,,,,,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,,,,,,,,
