IPN,Part Number,Description,Value,Symbol,Footprint,Manufacturer,Manufacturer Part Number,Suplier URL,Manufacturer Alternative,MPN Alternative,Manufacturer Alternative 2,MPN Alternative 2,Capacitance,Tolerance,Voltage,Dielectric,ESR,Ripple,Package_mil,Package_mm,Dimensions,Height,CodeSize,Polarized,TempRange,Lifecycle,RoHS,Datasheet,Created By,Created On,Approved By,Approved On,Revision,Comments
IPN_C-????,CPOL_1206_100nF_50V_±10%,CAP TANT 0.1UF 10% 50V 1206,100nF 50V,CAPACITOR_TAN,CPOL1206,KEMET,T491A104K050AT,https://www.digikey.es/es/products/detail/kemet/T491A104K050AT/2336174,,,,,100nF,±10%,50V,,20Ohm,,1206,3216,"0.126"" L x 0.063"" A (3.20mm x 1.60mm)","0.071"" (1.80mm)",A,yes,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,
IPN_C-????,CPOL_1411_150nF_50V_±10%,CAP TANT 0.15UF 10% 50V 1411,150nF 50V,CAPACITOR_TAN,CPOL1411,KEMET,T491B154K050AT,https://www.digikey.es/es/products/detail/kemet/T491B154K050AT/8614595,,,,,150nF,±10%,50V,,16Ohm,,1411,3528,"0.138"" L x 0.110"" A (3.50mm x 2.80mm)","0.083"" (2.10mm)",B,yes,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,
IPN_C-????,CPOL_1411_220nF_50V_±10%,CAP TANT 0.22UF 10% 50V 1411,220nF 50V,CAPACITOR_TAN,CPOL1411,KEMET,T491B224K050AT,https://www.digikey.es/es/products/detail/kemet/T491B224K050AT/2336232,,,,,220nF,±10%,50V,,14Ohm,,1411,3528,"0.138"" L x 0.110"" A (3.50mm x 2.80mm)","0.083"" (2.10mm)",B,yes,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,
IPN_C-????,CPOL_1206_330nF_25V_±10%,CAP TANT 0.33UF 10% 25V 1206,330nF 25V,CAPACITOR_TAN,CPOL1206,KEMET,T491A334K025AT,https://www.digikey.es/es/products/detail/kemet/T491A334K025AT/3759602,,,,,330nF,±10%,25V,,15Ohm,,1206,3216,"0.126"" L x 0.063"" A (3.20mm x 1.60mm)","0.071"" (1.80mm)",A,yes,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,
IPN_C-????,CPOL_1206_330nF_50V_±10%,CAP TANT 0.33UF 10% 50V 1206,330nF 50V,CAPACITOR_TAN,CPOL1206,KEMET,T491A334K050AT,https://www.digikey.es/es/products/detail/kemet/T491A334K050AT/8613988,,,,,330nF,±10%,50V,,14Ohm,,1206,3216,"0.126"" L x 0.063"" A (3.20mm x 1.60mm)","0.071"" (1.80mm)",A,yes,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,
IPN_C-????,CPOL_1206_470nF_25V_±10%,CAP TANT 0.47UF 10% 25V 1206,470nF 25V,CAPACITOR_TAN,CPOL1206,KEMET,T491A474K025AT,https://www.digikey.es/es/products/detail/kemet/T491A474K025AT/818556,,,,,470nF,±10%,25V,,14Ohm,,1206,3216,"0.126"" L x 0.063"" A (3.20mm x 1.60mm)","0.071"" (1.80mm)",A,yes,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,
IPN_C-????,CPOL_1411_470nF_50V_±10%,CAP TANT 0.47UF 10% 50V 1411,470nF 50V,CAPACITOR_TAN,CPOL1411,KEMET,T491B474K050AT,https://www.digikey.es/es/products/detail/kemet/T491B474K050AT/3724754,,,,,470nF,±10%,50V,,9Ohm,,1411,3528,"0.138"" L x 0.110"" A (3.50mm x 2.80mm)","0.083"" (2.10mm)",B,yes,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,
IPN_C-????,CPOL_1206_470nF_50V_±10%,CAP TANT 0.47UF 10% 50V 1206,470nF 50V,CAPACITOR_TAN,CPOL1206,KEMET,T491A474K050AT,https://www.digikey.es/es/products/detail/kemet/T491A474K050AT/8614720,,,,,470nF,±10%,50V,,9.5Ohm,,1206,3216,"0.126"" L x 0.063"" A (3.20mm x 1.60mm)","0.071"" (1.80mm)",A,yes,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,
IPN_C-????,CPOL_2312_470nF_50V_±10%,CAP TANT 0.47UF 10% 50V 2312,470nF 50V,CAPACITOR_TAN,CPOL2312,KEMET,T491C474K050AT,https://www.digikey.es/es/products/detail/kemet/T491C474K050AT/818612,,,,,470nF,±10%,50V,,8Ohm,,2312,6032,"0.236"" L x 0.126"" A (6.00mm x 3.20mm)","0.110"" (2.80mm)",C,yes,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,
IPN_C-????,CPOL_2312_680nF_50V_±10%,CAP TANT 0.68UF 10% 50V 2312,680nF 50V,CAPACITOR_TAN,CPOL2312,KEMET,T491C684K050AT,https://www.digikey.es/es/products/detail/kemet/T491C684K050AT/8616524,,,,,680nF,±10%,50V,,6.4Ohm,,2312,6032,"0.236"" L x 0.126"" A (6.00mm x 3.20mm)","0.110"" (2.80mm)",C,yes,-55°C ~ 125°C,Activo,,,AMR,22/08/2026,,,,
