IPN,Part Number,Description,Value,Symbol,Symbol Revision,Footprint,Footprint Revision,Manufacturer,Manufacturer Part Number,Suplier URL,Manufacturer Alternative,MPN Alternative,Manufacturer Alternative 2,MPN Alternative 2,Series,Type,Inductance,Tolerance,Ir,Isat,DCR,SRF,Q,Package,Mounting Height,Core,Shielded,TempRange,Lifecycle,RoHS,Datasheet,Created By,Created On,Approved By,Approved On,Revision,Comments,Cost_1,Cost_10,Cost_100,Cost_500,Cost_1000,Cost_2500,Cost_5000
IPN_L-????,L0806_1uH_2.7A_±20%_54mOhm,FIXED IND 1UH 2.7A 54 MOHM SMD,1uH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201612P-1R0M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201612P-1R0M-P2/5247229,,,,,DFE201612P,"Drum Core, Wirewound",1 µH,±20%,2.7 A,,54mOhm Max,,,806,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0033_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.19,,,,,,
IPN_L-????,L0806_1uH_2.9A_±20%_48mOhm,FIXED IND 1UH 2.9A 48 MOHM SMD,1uH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201612E-1R0M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201612E-1R0M-P2/7595454,,,,,DFE201612E,"Drum Core, Wirewound",1 µH,±20%,2.9 A,4A,48mOhm Max,,,806,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0006_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.21,,,,,,
IPN_L-????,L0806_470nH_4.5A_±20%_26mOhm,FIXED IND 470NH 4.5A 26 MOHM SMD,470nH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201612E-R47M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201612E-R47M-P2/9815903,,,,,DFE201612E,"Drum Core, Wirewound",470 nH,±20%,4.5 A,5.5A,26mOhm Max,,,806,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0006_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.21,,,,,,
IPN_L-0001,L0806_2.2uH_1.8A_±20%_116mOhm,FIXED IND 2.2UH 1.8A 116 MOHM,2.2uH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201612E-2R2M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201612E-2R2M-P2/9815901,,,,,DFE201612E,"Drum Core, Wirewound",2.2 µH,±20%,1.8 A,2.4A,116mOhm Max,,,806,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0006_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.21,,,,,,
IPN_L-????,L0806_1uH_2.7A_±20%_57mOhm,FIXED IND 1UH 2.7A 57 MOHM SMD,1uH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201610E-1R0M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201610E-1R0M-P2/7430535,,,,,DFE201610E,,1 µH,±20%,2.7 A,3.6A,57mOhm Max,,,806,"0.039"" (1.00mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0001_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.21,,,,,,
IPN_L-????,L0806_470nH_3.6A_±20%_32mOhm,FIXED IND 470NH 3.6A 32 MOHM SMD,470nH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201610E-R47M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201610E-R47M-P2/7927536,,,,,DFE201610E,"Drum Core, Wirewound",470 nH,±20%,3.6 A,4.8A,32mOhm Max,,,806,"0.039"" (1.00mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0001_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.21,,,,,,
IPN_L-????,L0806_2.2uH_1.7A_±20%_140mOhm,FIXED IND 2.2UH 1.7A 140 MOHM,2.2uH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201610E-2R2M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201610E-2R2M-P2/7430537,,,,,DFE201610E,,2.2 µH,±20%,1.7 A,2.4A,140mOhm Max,,,806,"0.039"" (1.00mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0001_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.21,,,,,,
IPN_L-????,L0806_10uH_650mA_±20%_780mOhm,FIXED IND 10UH 650MA 780 MOHM,10uH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201610E-100M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201610E-100M-P2/7927532,,,,,DFE201610E,"Drum Core, Wirewound",10 µH,±20%,650 mA,1A,780mOhm Max,,,806,"0.039"" (1.00mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0001_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.21,,,,,,
IPN_L-????,L0806_680nH_3.1A_±20%_43mOhm,FIXED IND 680NH 3.1A 43 MOHM SMD,680nH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201610E-R68M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201610E-R68M-P2/7927537,,,,,DFE201610E,"Drum Core, Wirewound",680 nH,±20%,3.1 A,4.3A,43mOhm Max,,,806,"0.039"" (1.00mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0001_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.23,,,,,,
IPN_L-????,L0805_1uH_2A_±20%_95mOhm,FIXED IND 1UH 2A 95 MOHM SMD,1uH,Inductor:L,1,Inductors:L_0805_2012Metric,1,Murata Electronics,DFE201210U-1R0M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201210U-1R0M-P2/7927526,,,,,DFE201210U,"Drum Core, Wirewound",1 µH,±20%,2 A,3.1A,95mOhm Max,,,805,"0.039"" (1.00mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0029_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.27,,,,,,
IPN_L-????,L0805_470nH_3A_±20%_42mOhm,FIXED IND 470NH 3A 42 MOHM SMD,470nH,Inductor:L,1,Inductors:L_0805_2012Metric,1,Murata Electronics,DFE201210U-R47M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201210U-R47M-P2/7927530,,,,,DFE201210U,"Drum Core, Wirewound",470 nH,±20%,3 A,4.4A,42mOhm Max,,,805,"0.039"" (1.00mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0029_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.27,,,,,,
IPN_L-????,L0805_1uH_2.7A_±20%_60mOhm,FIXED IND 1UH 2.7A 60 MOHM SMD,1uH,Inductor:L,1,Inductors:L_0805_2012Metric,1,Murata Electronics,DFE21CCN1R0MELL,https://www.digikey.es/en/products/detail/murata-electronics/DFE21CCN1R0MELL/15912574,,,,,DFE21CCN_EL,"Drum Core, Wirewound",1 µH,±20%,2.7 A,3.3A,60mOhm Max,,,805,"0.031"" (0.80mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/JETE243A-0052_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.28,,,,,,
IPN_L-????,L1210_10uH_1.1A_±20%_324mOhm,FIXED IND 10UH 1.1A 324 MOHM SMD,10uH,Inductor:L,1,Inductors:L_1210_3225Metric,1,Murata Electronics,DFE322512F-100M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE322512F-100M-P2/9815911,,,,,DFE322512F,"Drum Core, Wirewound",10 µH,±20%,1.1 A,1.7A,324mOhm Max,,,1210,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0019_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.39,,,,,,
